2020-10-21 22:37:02.3823 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:37:06.5161 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:37:16.3275 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:37:25.0541 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:37:35.0043 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:39:06.3596 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:39:38.3398 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:40:23.9643 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:40:28.0576 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:40:55.4012 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:41:01.6924 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:41:20.1475 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:43:15.5439 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:43:30.4827 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:43:47.0995 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:43:54.1051 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:44:07.8796 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:44:42.6122 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:45:51.2731 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:45:56.1465 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:46:06.3384 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:46:09.6673 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:46:17.9999 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:47:07.6326 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:48:33.5153 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:48:38.0844 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:48:56.3521 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:49:00.6593 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:49:08.8597 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:50:22.5977 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:52:16.4800 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:52:42.4001 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:52:54.2450 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:53:04.5937 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:53:37.6629 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:55:32.2955 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:55:37.6993 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:55:47.3247 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:55:50.5598 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:56:02.6866 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:56:44.2777 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:57:51.6648 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:58:14.7023 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:58:24.0795 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:58:31.3879 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
2020-10-21 22:59:05.5074 | INFO | ISPH.API.Controllers.AdvertisementsController | Getting advertisement with id = 10
